timebank,latitude,longitude,geo_accuracy,age_median,female_percent,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific,race_percent_other,race_percent_multi,race_percent_multi_other,race_percent_three,race_percent_hisp,race_percent_hisp_white,race_percent_hisp_black,race_percent_hisp_native,race_percent_hisp_asian,race_percent_hisp_pacific,race_percent_hisp_other,households_number,households_income_median,bachelors_male_percent,bachelors_female_percent,veteran_percent,households_family_percent,households_nowife_percent,households_nohusband_percent,housing_number_units,housing_percent_renters,housing_median_value
centraliowa,41.371221000000006,-93.546201,1,34.4,0.522,0.977,0,0.008,0,0,0,0.013999999999999999,0.40700000000000003,0.593,0.047,0.301,0,0.086,0,0,0.32299999999999995,771,58036,0.252,0.203,0.083,0.69,0.035,0.14,788,0.32299999999999995,175000
lincolnskillshare,40.800967,-96.701385,1,28.5,0.509,0.855,0.10800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,20764,0.182,0.128,0.059000000000000004,0.16699999999999998,0,0.27899999999999997,370,0.89,102500
nzcentralpermaculture,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changexchange,49.875415999999994,-119.48823200000001,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circlenomic,21.292799,-157.843068,1,42.7,0.53,0.321,0.019,0,0.58,0,0,0.004,1,0,0.043,0.7709999999999999,0,0,0,0,0.13,1531,103750,0.409,0.44299999999999995,0.11199999999999999,0.607,0.03,0.095,2160,0.268,710900
citypark,39.755728999999995,-104.95990800000001,1,32.9,0.557,0.6459999999999999,0.31,0.015,0,0,0,0,0,0,0.071,0.907,0,0,0,0,0.09300000000000001,454,84464,0.507,0.272,0.062,0.617,0.06,0.359,492,0.43,444600
columbia,39.210264,-76.84787,1,30.7,0.475,0.39899999999999997,0.501,0,0.07200000000000001,0,0,0,0,0,0.397,1,0,0,0,0,0,715,71458,0.19,0.184,0.048,0.629,0.076,0.196,757,0.28300000000000003,230400
slocanvalley,49.499293,-117.285831,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manasota,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdn,40.602488,-75.462246,1,24.5,0.534,0.41700000000000004,0.42200000000000004,0,0.098,0,0,0.061,0,1,0.703,0.517,0.131,0,0,0,0.265,440,22188,0.124,0.032,0.055999999999999994,0.789,0.06,0.46399999999999997,525,0.716,64200
cse,41.342351,-73.653648,1,51,0.519,0.835,0.031,0,0.047,0,0,0,0,0,0.08900000000000001,0.6409999999999999,0,0,0,0,0.359,549,136908,0.371,0.306,0.057999999999999996,0.7809999999999999,0,0.027999999999999997,628,0.126,497200
communityskillexchange,38.577523,-121.443,0.9,46.5,0.5660000000000001,0.922,0,0,0.027000000000000003,0,0,0.053,0.47600000000000003,0.524,0.16,0.449,0,0,0,0,0.22,396,100625,0.149,0.185,0.14,0.39899999999999997,0,0.08900000000000001,396,0.207,432600
richmondcounty,45.61339,-60.76144,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northfrontenac,44.960678,-76.98506,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katytx,29.816869,-95.852404,1,31.8,0.5539999999999999,0.872,0.075,0.008,0.013999999999999999,0,0,0.005,0,1,0.248,0.69,0,0.027000000000000003,0.019,0,0.244,1584,96955,0.359,0.26899999999999996,0.071,0.8540000000000001,0.012,0.096,1650,0.11900000000000001,254900
crookedriver,41.148394,-81.35557299999999,1,24.2,0.493,0.93,0.02,0.001,0.026000000000000002,0,0,0,0,0,0.008,1,0,0,0,0,0,384,27604,0.349,0.134,0.038,0.25,0.126,0.013000000000000001,637,0.836,135500
danvilledollars,37.645241999999996,-84.77884300000001,1,21,0.57,0.74,0.156,0.004,0.064,0,0.006,0,0,0,0.07200000000000001,0.9540000000000001,0,0,0,0,0.046,290,21098,0.152,0.133,0.021,0.307,0,0.345,314,0.752,72000
dc,38.917213000000004,-77.01781,1,20.4,0.599,0.293,0.67,0,0.016,0,0.002,0.006999999999999999,0.682,0.318,0.122,0.069,0.603,0,0,0,0.275,572,103333,0.45399999999999996,0.332,0.02,0.32899999999999996,0.158,0.23,875,0.449,595900
