timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
meadville,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.06060606060606061
midcanterbury,1.0,1.0,0.0,1.0,0.0,25.0,0.8176,0.0,0.0,4.105263157894737,8.368421052631579,2.0384615384615383,47.1578947368421,79.86842105263158,0.5904448105436573,152.0,0.13157894736842105,383.0,399.0,0.0,0.0,0.0,122.0,14.0,0.22950819672131148,0.2459016393442623,0.7545426065162907
mk,1.0,1.0,1.0,0.0,0.0,47.0,0.891,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mttimeexchange,0.0,1.0,0.0,0.0,0.0,86.0,0.9915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murihiku,0.0,1.0,0.0,1.0,0.0,25.0,0.8519,6.0,0.0,0.02631578947368421,0.13157894736842105,5.0,10.0,5.184210526315789,1.9289340101522843,67.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,11.0,0.1267605633802817,0.028169014084507043,0.24151967435549526
mwdi,0.0,1.0,1.0,0.0,0.0,41.0,0.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,11.0,0.046511627906976744,0.0,0.19251336898395724
nbnneighborhoodnetwork,1.0,1.0,1.0,1.0,1.0,31.0,0.4588,0.0,0.0,0.0,0.0,0.0,18.0,9.0,2.0,467.0,0.0,0.0,0.0,362.0,221.0,130.0,86.0,11.0,0.26744186046511625,0.05813953488372093,0.2444108354172594
piedmont,1.0,1.0,1.0,0.0,0.0,40.0,0.7184,0.0,0.0,0.0,0.0,0.0,7.684210526315789,4.0,1.9210526315789473,18.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,11.0,0.12987012987012986,0.0,0.8787878787878788
theneighborhoodvillage,0.0,1.0,0.0,0.0,0.0,37.0,0.8176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
nerd,0.0,1.0,0.0,0.0,0.0,14.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nether-swarthmore,1.0,1.0,0.0,0.0,0.0,8.0,0.3182,0.0,0.0,0.3684210526315789,0.5,1.3571428571428572,39.078947368421055,30.81578947368421,1.2681468830059779,127.0,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,83.0,12.0,0.26506024096385544,0.18072289156626506,0.2322498149269803
nrv,1.0,1.0,1.0,1.0,1.0,50.0,0.6908,0.0,0.0,0.6578947368421053,1.2894736842105263,1.96,60.68421052631579,57.44736842105263,1.0563444800732937,145.0,0.05263157894736842,641.0,648.0,1093.0,116.0,96.0,77.0,11.0,0.33766233766233766,0.18181818181818182,0.48515392653323686
nola,1.0,1.0,0.0,0.0,0.0,35.0,0.7506,33.0,0.7506,0.13157894736842105,0.3684210526315789,2.8,156.0,156.0,1.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,14.0,0.3728813559322034,0.1440677966101695,0.33264019589986443
norman,0.0,1.0,0.0,0.0,0.0,25.0,0.9313,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,0.125,0.0,0.4545454545454546
ncc,0.0,1.0,1.0,0.0,0.0,132.0,0.9911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
northwestnewjersey,1.0,1.0,0.0,1.0,0.0,24.0,0.875,0.0,0.0,0.02631578947368421,0.05263157894736842,2.0,35.0,26.0,1.3461538461538463,137.0,0.0,253.0,245.0,0.0,0.0,0.0,84.0,11.0,0.25,0.0,0.42667551426675515
oahu,1.0,1.0,0.0,0.0,0.0,49.0,0.8548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ojai,0.0,1.0,0.0,1.0,0.0,6.0,0.6908,0.0,0.0,0.0,0.0,0.0,26.44736842105263,22.289473684210527,1.1865407319952774,40.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,15.0,0.29411764705882354,0.07352941176470588,0.16166666666666668
orexchange,1.0,1.0,1.0,1.0,1.0,39.0,0.8402,0.0,0.0,0.6578947368421053,1.605263157894737,2.44,199.52631578947367,196.52631578947367,1.0152651312265666,164.0,0.0,449.0,426.0,445.0,18.0,96.0,107.0,13.0,0.35514018691588783,0.3177570093457944,0.3893900033674893
otaki,1.0,1.0,0.0,1.0,0.0,118.0,0.9509,0.0,0.0,0.05263157894736842,0.05263157894736842,1.0,7.2631578947368425,8.157894736842104,0.8903225806451615,74.0,0.0,188.0,177.0,0.0,0.0,0.0,88.0,15.0,0.03409090909090909,0.09090909090909091,0.23963963963963966
ourcommunity,0.0,1.0,0.0,0.0,0.0,5.0,0.3818,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oscab,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,0.0,0.0,0.10511363636363637
washingtoncountywi,0.0,1.0,0.0,0.0,0.0,10.0,0.4588,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,44.0,-0.05263157894736842,0.0,0.0,0.0,0.0,0.0,65.0,11.0,0.1076923076923077,0.09230769230769231,0.236808645899555
pay4wardbank,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patb,0.0,1.0,0.0,1.0,0.0,19.0,0.875,5.0,0.0,3.1315789473684212,8.605263157894736,2.747899159663865,50.578947368421055,69.10526315789474,0.7319116527037319,164.0,0.05263157894736842,498.0,489.0,0.0,0.0,0.0,89.0,11.0,0.2696629213483146,0.25842696629213485,0.6611376428449599
porirua,1.0,1.0,0.0,1.0,0.0,27.0,0.9371,0.0,0.0,0.02631578947368421,0.02631578947368421,1.0,4.947368421052632,7.2631578947368425,0.6811594202898551,24.0,0.0,4.0,4.0,0.0,0.0,0.0,71.0,11.0,0.028169014084507043,0.09859154929577464,0.5833333333333334
pridestl,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
projectbunbury,0.0,1.0,0.0,1.0,0.0,9.0,0.8481,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.625,77.0,0.0,831.0,824.0,0.0,0.0,0.0,80.0,11.0,0.0625,0.075,0.565525383707202
reciprocity,1.0,1.0,1.0,1.0,1.0,101.0,0.9403,0.0,0.0,0.07894736842105263,0.07894736842105263,1.0,42.973684210526315,45.23684210526316,0.9499709133216987,32.0,0.0,975.0,1015.0,712.0,425.0,226.0,92.0,16.0,0.13043478260869565,0.1956521739130435,0.439453125
rvtb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0984848484848485
scouts,0.0,1.0,0.0,0.0,0.0,11.0,0.4215,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,11.0,0.18604651162790697,0.0,0.6909090909090909
sebastopolarea,1.0,1.0,1.0,1.0,0.0,28.0,0.9062,0.0,0.0,3.4210526315789473,10.236842105263158,2.9923076923076923,129.05263157894737,132.28947368421052,0.9755321265168093,217.0,0.34210526315789475,80.0,84.0,0.0,0.0,0.0,133.0,15.0,0.21804511278195488,0.15037593984962405,0.4714010004332585
sobrantepark,0.0,1.0,0.0,0.0,0.0,18.0,0.6705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
springhillfl,0.0,1.0,0.0,0.0,0.0,29.0,0.8519,0.0,0.0,2.8157894736842106,8.157894736842104,2.8971962616822426,20.973684210526315,10.157894736842104,2.0647668393782386,23.0,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,81.0,11.0,0.2839506172839506,0.08641975308641975,0.7782507347724739
spurt,0.0,1.0,0.0,0.0,0.0,45.0,0.8885,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.23076923076923078,0.020202020202020204
stpete,0.0,1.0,0.0,1.0,0.0,22.0,0.6486,0.0,0.0,9.394736842105264,20.05263157894737,2.134453781512605,192.6315789473684,214.55263157894737,0.8978290199926406,166.0,0.6578947368421053,0.0,0.0,0.0,0.0,0.0,92.0,12.0,0.40217391304347827,0.358695652173913,0.773542889506745
startribehours,0.0,1.0,1.0,1.0,1.0,143.0,0.9839,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.25,126.0,0.0,37.0,38.0,6.0,104.0,30.0,81.0,10.0,0.08641975308641975,0.0,0.35238095238095235
swel,1.0,1.0,0.0,1.0,0.0,65.0,0.9595,0.0,0.0,0.13157894736842105,0.21052631578947367,1.6,104.76315789473684,94.3157894736842,1.1107700892857142,51.0,0.0,184.0,179.0,0.0,0.0,0.0,66.0,11.0,0.25757575757575757,0.15151515151515152,0.3297682709447415
takomatime,0.0,1.0,1.0,1.0,1.0,125.0,0.9022,0.0,0.0,0.0,0.0,0.0,14.289473684210526,9.0,1.5877192982456139,28.0,0.0,81.0,81.0,1.0,0.0,0.0,40.0,11.0,0.325,0.075,0.1396103896103896
taneycounty,0.0,1.0,0.0,1.0,0.0,52.0,0.9485,0.0,0.0,0.0,0.0,0.0,15.736842105263158,15.368421052631579,1.023972602739726,12.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.0,0.3684210526315789,0.2631578947368421,0.23484848484848486
taranaki,1.0,1.0,0.0,1.0,0.0,115.0,0.9872,0.0,0.0,2.1315789473684212,4.315789473684211,2.024691358024691,67.05263157894737,55.0,1.2191387559808613,292.0,0.39473684210526316,911.0,912.0,0.0,0.0,0.0,82.0,12.0,0.32926829268292684,0.23170731707317074,0.4002385552043087
thecommunityproject,0.0,1.0,0.0,0.0,0.0,13.0,0.7184,0.0,0.0,0.0,0.0,0.0,2.263157894736842,2.5,0.9052631578947368,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,51.0,11.0,0.058823529411764705,0.0784313725490196,0.3314930683351736
huttsouth,1.0,1.0,0.0,1.0,1.0,6.0,0.6369,0.0,0.0,1.9736842105263157,4.5,2.2800000000000002,40.0,31.263157894736842,1.2794612794612794,266.0,0.15789473684210525,425.0,424.0,18.0,21.0,5.0,85.0,11.0,0.3176470588235294,0.17647058823529413,0.32860998650472334
