timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
midcanterbury,1.0,1.0,0.0,1.0,0.0,25.0,0.8176,0.0,0.0,3.857142857142857,6.928571428571429,1.7962962962962963,44.6,80.46666666666667,0.5542667771333886,152.0,0.21428571428571427,383.0,399.0,0.0,0.0,0.0,122.0,14.0,0.20491803278688525,0.2459016393442623,0.7475250626566416
mk,1.0,1.0,1.0,0.0,0.0,47.0,0.891,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mttimeexchange,0.0,1.0,0.0,0.0,0.0,86.0,0.9915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murihiku,0.0,1.0,0.0,1.0,0.0,25.0,0.8519,6.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,11.0,0.1267605633802817,0.028169014084507043,0.24151967435549526
mwdi,0.0,1.0,1.0,0.0,0.0,41.0,0.9051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,11.0,0.046511627906976744,0.0,0.19251336898395724
nbnneighborhoodnetwork,1.0,1.0,1.0,1.0,1.0,31.0,0.4588,0.0,0.0,0.0,0.0,0.0,18.0,9.0,2.0,467.0,0.0,0.0,0.0,362.0,221.0,130.0,86.0,11.0,0.26744186046511625,0.05813953488372093,0.2433326844461748
piedmont,1.0,1.0,1.0,0.0,0.0,40.0,0.7184,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.25,18.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,11.0,0.12987012987012986,0.0,0.8787878787878788
theneighborhoodvillage,0.0,1.0,0.0,0.0,0.0,37.0,0.8176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
nerd,0.0,1.0,0.0,0.0,0.0,14.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nether-swarthmore,1.0,1.0,0.0,0.0,0.0,8.0,0.3182,0.0,0.0,0.35714285714285715,0.5714285714285714,1.5999999999999999,38.0,28.133333333333333,1.3507109004739337,127.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,79.0,11.0,0.27848101265822783,0.16455696202531644,0.24266284896206156
nrv,1.0,1.0,1.0,1.0,1.0,50.0,0.6908,0.0,0.0,0.6428571428571429,1.7142857142857142,2.6666666666666665,63.6,59.266666666666666,1.0731158605174353,145.0,0.0,641.0,648.0,1093.0,116.0,96.0,77.0,11.0,0.33766233766233766,0.16883116883116883,0.48029258098223615
nola,1.0,1.0,0.0,0.0,0.0,35.0,0.7506,33.0,0.7506,0.21428571428571427,0.7142857142857143,3.3333333333333335,156.0,156.0,1.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,14.0,0.3728813559322034,0.1440677966101695,0.332583530649829
norman,0.0,1.0,0.0,0.0,0.0,25.0,0.9313,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,0.125,0.0,0.4545454545454546
ncc,0.0,1.0,1.0,0.0,0.0,132.0,0.9911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
northwestnewjersey,1.0,1.0,0.0,1.0,0.0,24.0,0.875,0.0,0.0,0.0,0.0,0.0,35.0,26.0,1.3461538461538463,137.0,0.0,253.0,245.0,0.0,0.0,0.0,84.0,11.0,0.25,0.0,0.42667551426675515
oahu,1.0,1.0,0.0,0.0,0.0,49.0,0.8548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ojai,0.0,1.0,0.0,1.0,0.0,6.0,0.6908,0.0,0.0,0.0,0.0,0.0,31.2,22.733333333333334,1.3724340175953078,40.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,15.0,0.29411764705882354,0.07352941176470588,0.16166666666666668
orexchange,1.0,1.0,1.0,1.0,1.0,39.0,0.8402,0.0,0.0,0.7857142857142857,2.357142857142857,3.0,198.8,196.06666666666666,1.0139408364501872,164.0,0.21428571428571427,449.0,426.0,445.0,18.0,96.0,106.0,13.0,0.3584905660377358,0.3113207547169811,0.38261413383364606
otaki,1.0,1.0,0.0,1.0,0.0,118.0,0.9509,0.0,0.0,0.0,0.0,0.0,7.666666666666667,8.2,0.934959349593496,74.0,0.0,188.0,177.0,0.0,0.0,0.0,88.0,15.0,0.03409090909090909,0.09090909090909091,0.23963963963963966
ourcommunity,0.0,1.0,0.0,0.0,0.0,5.0,0.3818,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oscab,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,0.0,0.0,0.10511363636363637
washingtoncountywi,0.0,1.0,0.0,0.0,0.0,10.0,0.4588,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,11.0,0.1076923076923077,0.09230769230769231,0.23760330578512398
pay4wardbank,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patb,0.0,1.0,0.0,1.0,0.0,19.0,0.875,5.0,0.0,4.214285714285714,7.214285714285714,1.711864406779661,49.733333333333334,69.4,0.7166186359269933,164.0,0.2857142857142857,498.0,489.0,0.0,0.0,0.0,89.0,11.0,0.23595505617977527,0.2247191011235955,0.6504434589800444
porirua,1.0,1.0,0.0,1.0,0.0,27.0,0.9371,0.0,0.0,0.07142857142857142,0.07142857142857142,1.0,5.0,7.8,0.6410256410256411,24.0,0.0,4.0,4.0,0.0,0.0,0.0,71.0,11.0,0.028169014084507043,0.09859154929577464,0.5833333333333334
pridestl,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
projectbunbury,0.0,1.0,0.0,1.0,0.0,9.0,0.8481,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.625,77.0,0.0,831.0,824.0,0.0,0.0,0.0,80.0,11.0,0.0625,0.075,0.565525383707202
reciprocity,1.0,1.0,1.0,1.0,1.0,101.0,0.9403,0.0,0.0,0.0,0.0,0.0,42.93333333333333,45.6,0.9415204678362572,32.0,0.0,975.0,1015.0,712.0,425.0,226.0,92.0,16.0,0.13043478260869565,0.1956521739130435,0.439453125
rvtb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0984848484848485
scouts,0.0,1.0,0.0,0.0,0.0,11.0,0.4215,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,11.0,0.18604651162790697,0.0,0.6909090909090909
