timestamp,timebank,facebook,facebook_likes,facebook_followers,twitter,twitter_joined_date,twitter_tweets,twitter_following,twitter_followers
2019-02-03 12:45:00,nether-swarthmore,,,,,,,,
2019-02-03 12:45:00,nrv,https://www.facebook.com/nrvtimebank/?hc_ref=SEARCH,641,648,https://twitter.com/nrvtimebank,2016-08,1093,116,96
2019-02-03 12:45:00,nola,,,,,,,,
2019-02-03 12:45:00,norman,,,,,,,,
2019-02-03 12:45:00,ncc,,,,,,,,
2019-02-03 12:45:00,northwestnewjersey,https://www.facebook.com/NWNJTimebank?ref=bookmarks,253,245,,,,,
2019-02-03 12:45:00,oahu,,,,,,,,
2019-02-03 12:45:00,ojai,http://ojai.timebanks.org,,,,,,,
2019-02-03 12:45:00,orexchange,https://www.facebook.com/ORExchange,449,426,https://twitter.com/https://twitter.com/ORExchange,2009-06,445,18,96
2019-02-03 12:45:00,otaki,https://www.facebook.com/otakitimebank/,188,177,,,,,
2019-02-03 12:45:00,ourcommunity,,,,,,,,
2019-02-03 12:45:00,oscab,,,,,,,,
2019-02-03 12:45:00,washingtoncountywi,,,,,,,,
2019-02-03 12:45:00,pay4wardbank,,,,,,,,
2019-02-03 12:45:00,patb,https://www.facebook.com/PATimeBank,498,489,,,,,
2019-02-03 12:45:00,porirua,https://www.facebook.com/groups/2018212828446918/,4,4,,,,,
2019-02-03 12:45:00,pridestl,,,,,,,,
2019-02-03 12:45:00,projectbunbury,https://www.facebook.com/projectbunburytimebank,831,824,,,,,
2019-02-03 12:45:00,reciprocity,https://www.facebook.com/womanistworkingcollective/,975,1015,https://twitter.com/Womanist_Philly,2016-02,712,425,226
2019-02-03 12:45:00,rvtb,,,,,,,,
2019-02-03 12:45:00,scouts,,,,,,,,
2019-02-03 12:45:00,sebastopolarea,https://www.facebook.com/sebastopolareatimebank/,80,84,,,,,
2019-02-03 12:45:00,sobrantepark,,,,,,,,
2019-02-03 12:45:00,springhillfl,,,,,,,,
2019-02-03 12:45:00,spurt,,,,,,,,
2019-02-03 12:45:00,stpete,https://www.facebook.com/groups/everydayheroexchange/,page unavailable,page unavailable,,,,,
2019-02-03 12:45:00,startribehours,https://www.facebook.com/StarTribeHours4community/,37,38,https://twitter.com/https://twitter.com/StarTribeCore,2015-03,6,104,30
2019-02-03 12:45:00,swel,https://www.facebook.com/SwelTimebank.org/,184,179,,,,,
2019-02-03 12:45:00,takomatime,https://www.facebook.com/takomatime/,81,81,https://twitter.com/takomatime,2018-02,1,0,0
2019-02-03 12:45:00,taneycounty,http://taneycounty.timebanks.org,,,,,,,
2019-02-03 12:45:00,taranaki,https://www.facebook.com/pages/Taranaki-Timebank/717206811632857,911,912,,,,,
2019-02-03 12:45:00,thecommunityproject,,,,,,,,
2019-02-03 12:45:00,huttsouth,https://www.facebook.com/HuttTimebank/,425,424,https://twitter.com/HuttTimebank,2017-10,18,21,5
2019-02-03 12:45:00,lyttelton,https://www.facebook.com/Lyttelton-Time-Bank-124096657632002/timeline/?ref=bookmarks,760,750,,,,,
2019-02-03 12:45:00,sanctuaryseniorvillage,,,,,,,,
2019-02-03 12:45:00,tierrasanta,,,,,,,,
2019-02-03 12:45:00,galesburgil,,,,,,,,
2019-02-03 12:45:00,westmilford,,,,,,,,
2019-02-03 12:45:00,stannsbay,,,,,,,,
2019-02-03 12:45:00,kaikoura,,,,,,,,
2019-02-03 12:45:00,mainetime,https://www.facebook.com/TimeInitiativeOfME,493,480,https://twitter.com/TIMEofMaine,2012-11,62,116,162
2019-02-03 12:45:00,newzealand,https://www.facebook.com/timebankaotearoa/,531,536,,,,,
2019-02-03 12:45:00,tbfredericton,https://www.facebook.com/TBFredericton/,156,156,,,,,
2019-02-03 12:45:00,tbhawaii,,,,,,,,
2019-02-03 12:45:00,hurunui,https://hurunui.timebanks.org,,,,,,,
2019-02-03 12:45:00,mcs1stopindy,https://www.facebook.com/timebankindy,134,133,https://twitter.com/timebankindy,2015-04,140,722,166
2019-02-03 12:45:00,manawatu,,,,,,,,
2019-02-03 12:45:00,media,https://www.facebook.com/timebankmedia,582,566,https://twitter.com/TimeBankMedia,2011-08,442,127,258
2019-02-03 12:45:00,nb,https://www.facebook.com/timebanknb/,254,253,https://twitter.com/TimeBank_NB,2015-11,51,0,20
2019-02-03 12:45:00,raglan,https://www.facebook.com/timebankraglan/,496,501,,,,,
2019-02-03 12:45:00,upperhutt,http://upperhutt.timebanks.org,,,https://twitter.com/TimeBankUppHutt,2012-02,3,48,11
2019-02-03 12:45:00,waimakariri,https://www.facebook.com/timebankwaimakariri/,155,162,,,,,
2019-02-03 12:45:00,tb13069,,,,,,,,
2019-02-03 12:45:00,tops,https://www.facebook.com/pages/Eastside-Timebank/228655160506322,217,205,,,,,
2019-02-03 12:45:00,korea,,,,,,,,
2019-02-03 12:45:00,tlv,,,,,,,,
2019-02-03 12:45:00,timeforall,,,,,,,,
2019-02-03 12:45:00,timetradersnorth,https://www.facebook.com/Washburn-Area-TimeBank-113489868987379/,page unavailable,page unavailable,,,,,
2019-02-03 12:45:00,togetherwecan,,,,,,,,
2019-02-03 12:45:00,tullyarea,,,,,,,,
2019-02-03 12:45:00,ubuntu,,,,,,,,
2019-02-03 12:45:00,udc,,,,,,,,
2019-02-03 12:45:00,unityexchange,,,,,,,,
2019-02-03 12:45:00,uva,,,,,,,,
2019-02-03 12:45:00,villagece,,,,,,,,
2019-02-03 12:45:00,waikato,https://www.facebook.com/waikatotimebank,345,359,,,,,
2019-02-03 12:45:00,wairarapa,https://www.facebook.com/WairarapaTimeBank/,203,198,,,,,
2019-02-03 12:45:00,waitaki,https://www.facebook.com/TransitionOamaru/,487,491,,,,,
2019-02-03 12:45:00,wanaka,,,,,,,,
2019-02-03 12:45:00,wellingtonsouth,https://www.facebook.com/wgtntimebank/,1605,1584,https://twitter.com/WgtnTimebank,2012-09,644,589,598
2019-02-03 12:45:00,westprairievillage,,,,,,,,
2019-02-03 12:45:00,westseattle,https://www.facebook.com/westseattletimebank/,326,325,https://twitter.com/TimebankWS,2015-02,934,74,98
2019-02-03 12:45:00,wncw,,,,,,,,
2019-02-03 12:45:00,wecompassionatecommunity,,,,,,,,
2019-02-03 12:45:00,york,,,,https://twitter.com/YorkPATimeBank,2016-02,180,178,78
