exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-24 09:35:07
2486,5571,1 week 17 hours ago,184,29,23,tops,2019-01-24 09:35:07
9756,37459,1 day 13 hours ago,655,1,1,korea,2019-01-24 09:35:07
37,63,3 years 33 weeks ago,33,4,4,tlv,2019-01-24 09:35:07
316,1562,1 week 2 days ago,133,23,29,timeforall,2019-01-24 09:35:07
579,3717,1 year 32 weeks ago,97,4,4,timetradersnorth,2019-01-24 09:35:07
19,170,3 weeks 8 hours ago,52,3,6,togetherwecan,2019-01-24 09:35:07
136,317,24 weeks 2 days ago,41,15,15,tullyarea,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-24 09:35:07
1996,7444,29 sec ago,329,5,2,udc,2019-01-24 09:35:07
188,683,1 day 8 hours ago,94,13,19,unityexchange,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-24 09:35:07
112,217,3 years 6 days ago,36,0,0,villagece,2019-01-24 09:35:07
1913,4686,20 weeks 2 days ago,245,12,10,waikato,2019-01-24 09:35:07
159,324,1 week 2 days ago,62,67,66,wairarapa,2019-01-24 09:35:07
227,372,48 weeks 5 days ago,44,2,3,waitaki,2019-01-24 09:35:07
57,920,28 weeks 3 days ago,55,3,3,wanaka,2019-01-24 09:35:07
8519,21890,13 hours 52 min ago,594,79,108,wellingtonsouth,2019-01-24 09:35:07
35,61,26 weeks 21 hours ago,17,2,4,westprairievillage,2019-01-24 09:35:07
3437,9817,10 hours 16 min ago,405,59,81,westseattle,2019-01-24 09:35:07
1,1,1 year 31 weeks ago,10,0,0,wncw,2019-01-24 09:35:07
20,30,2 years 30 weeks ago,25,0,0,wecompassionatecommunity,2019-01-24 09:35:07
158,1058,1 week 1 day ago,151,10,9,york,2019-01-24 09:35:07
1133,5998,2 days 6 hours ago,179,36,29,addington,2019-01-25 09:21:37
439,1375,2 years 41 weeks ago,207,0,0,aha,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-25 09:21:37
2,3,3 years 12 weeks ago,8,0,0,andersoncommunity,2019-01-25 09:21:37
1,5,1 year 31 weeks ago,8,4,4,ate,2019-01-25 09:21:37
